Time (s),Linear Acceleration x (m/s^2)
4.416095572E0,-9.610122442E-2
4.425675259E0,5.197250843E-2
4.435992186E0,9.600913525E-2
4.445585676E0,1.233308911E-1
4.455883488E0,1.793844700E-1
4.465698072E0,1.056870818E-1
4.476139634E0,1.804252267E-1
4.485356822E0,2.276365161E-1
4.495630936E0,8.713605404E-1
4.505703436E0,9.302862287E-1
4.515616249E0,1.369126320E0
4.525275207E0,1.934301615E0
4.535430415E0,2.317202568E0
4.544999634E0,2.060363770E0
4.555352447E0,1.880795717E0
4.564849530E0,2.169154406E0
4.575231249E0,3.650746107E0
4.584800780E0,4.971307278E0
4.595185832E0,5.058470726E0
4.604613124E0,3.460213661E0
4.615045259E0,1.439988017E0
4.624597499E0,-2.945668697E-1
4.634940884E0,-1.892132998E0
4.644444322E0,-4.325905323E0
4.654795363E0,-6.834358692E0
4.664317134E0,-9.214124680E0
4.674696770E0,-1.060038853E1
4.684750051E0,-1.015878677E1
4.694573905E0,-8.842580795E0
4.704153228E0,-7.221617222E0
4.714458020E0,-5.405250549E0
4.724004947E0,-3.371096611E0
4.734369061E0,-1.429830074E0
4.743916926E0,2.987342477E-1
4.754256718E0,1.382244349E0
4.763886301E0,3.064811230E0
4.774148436E0,5.305179119E0
4.784472395E0,7.441597939E0
4.794014999E0,9.903821945E0
4.803577134E0,1.040842533E1
4.813933124E0,1.039602470E1
4.823492655E0,9.342167854E0
4.833835780E0,8.383708954E0
4.843401249E0,6.932669640E0
4.853714218E0,5.187218666E0
4.863672707E0,3.477981091E0
4.873593332E0,4.936840534E-1
4.883167290E0,-3.358473539E0
4.893574843E0,-7.654863834E0
4.903034269E0,-1.056821346E1
4.913676978E0,-1.101173496E1
4.922934842E0,-1.058389473E1
4.933398124E0,-9.411227226E0
4.942838592E0,-7.755459785E0
4.953147238E0,-5.590964794E0
4.962709529E0,-2.695785046E0
4.973054998E0,5.080301762E-1
4.982633227E0,3.089048862E0
4.993015467E0,4.957401752E0
5.002570102E0,6.163554668E0
5.012845519E0,7.023844719E0
5.022395936E0,7.036736012E0
5.032721821E0,6.349101067E0
5.042731873E0,5.266001701E0
5.052605519E0,3.988881826E0
5.062216196E0,2.603438377E0
5.072491977E0,7.434995174E-1
5.082076248E0,-2.120138168E0
5.092383748E0,-5.515947342E0
5.102016613E0,-8.253394127E0
5.112279113E0,-9.862796783E0
5.121861092E0,-1.004697704E1
5.132191248E0,-9.517982483E0
5.141780259E0,-8.621112823E0
5.152137498E0,-7.058191299E0
5.161655206E0,-5.107584476E0
5.172006196E0,-3.140582085E0
5.181577238E0,-6.342571378E-1
5.191888279E0,1.610654712E0
5.201440623E0,3.502094030E0
5.211782081E0,4.978116989E0
5.221796092E0,5.556952477E0
5.231693540E0,5.538426399E0
5.241289061E0,4.521666527E0
5.251664217E0,4.806767941E0
5.261103071E0,4.051506519E0
5.271462863E0,3.270770788E0
5.280999477E0,2.706972837E0
5.291327967E0,2.263643503E0
5.300922498E0,1.284649611E0
5.311265519E0,3.999011517E-1
5.320770207E0,-1.324915051E0
5.331101456E0,-3.516415596E0
5.340614217E0,-5.876986027E0
5.351009009E0,-7.175787449E0
5.360558696E0,-7.772900581E0
5.370885884E0,-7.868640423E0
5.380419946E0,-7.304484844E0
5.390843748E0,-6.483314514E0
5.400794894E0,-4.128628254E0
5.410645259E0,-3.459259987E0
5.420239165E0,-2.987778425E0
5.430558123E0,-2.345378399E0
5.440095311E0,-2.075015068E0
5.450472707E0,-1.404458284E0
5.459976561E0,-7.513841391E-1
5.470332186E0,-9.796738625E-2
5.479925415E0,6.472818851E-1
5.490215102E0,1.190269232E0
5.499777967E0,1.292450070E0
5.510104061E0,1.314308643E0
5.519667915E0,7.111575603E-1
5.529995571E0,2.202982903E-1
5.539574477E0,-4.950178862E-1
5.549896561E0,-1.056233406E0
5.559428592E0,-1.224550009E0
5.569814216E0,-1.503508687E0
5.579792653E0,-1.484112740E0
5.589646768E0,-1.374544144E0
5.599274424E0,-1.410501599E0
5.609555257E0,-1.221759200E0
5.619108069E0,-1.046389699E0
5.629459944E0,-2.131509185E-1
5.639007081E0,2.241667509E-1
5.649373227E0,3.747762442E-1
5.658917862E0,-7.160067558E-2
5.669246143E0,-1.411921382E-1
5.678804477E0,-2.111483216E-1
5.689132133E0,-5.924868584E-1
5.698681300E0,-1.043839216E0
5.709018279E0,-1.203512192E0
5.718600206E0,-1.231755972E0
5.728917185E0,-1.177524328E0
5.738451144E0,-1.012236714E0
5.748806873E0,-7.074468732E-1
5.758786873E0,-6.835060120E-1
5.768740675E0,-1.386304796E-1
5.778281196E0,-1.721986830E-1
5.788555414E0,-4.147998393E-1
5.798135414E0,-4.966483712E-1
5.808454060E0,-5.674439073E-1
5.818024164E0,-4.899330735E-1
5.828362758E0,-4.762514830E-1
5.837953019E0,-5.351163745E-1
5.848265154E0,-2.057923228E-1
5.857803279E0,6.357580423E-2
5.868139008E0,2.578203380E-1
5.877690258E0,2.013379633E-1
5.888026977E0,1.549625993E-1
5.897762758E0,1.257850528E-1
5.908032133E0,1.898445487E-1
5.917462341E0,2.001993060E-1
5.927778279E0,3.597369790E-1
5.937805310E0,4.081792235E-1
5.947732185E0,8.437484503E-2
5.957380831E0,-3.097176552E-2
5.967591248E0,-2.360024750E-1
5.977159112E0,-2.901104987E-1
5.987502706E0,-2.064610422E-1
5.997102029E0,-1.043237448E-1
6.007384789E0,-1.988964379E-1
6.017103904E0,-2.845999002E-1
6.027279998E0,-3.314174712E-1
6.036809894E0,-3.469616771E-1
6.047164581E0,-4.693965316E-1
6.056684894E0,-2.903966010E-1
6.067069216E0,-7.918867469E-2
6.076766352E0,1.922144592E-1
6.086940414E0,2.712243199E-1
6.096504842E0,7.956221700E-2
6.106843383E0,2.063798904E-2
6.116841196E0,-1.425796747E-2
6.126726196E0,-3.643703461E-2
6.136419008E0,-9.160906076E-3
6.146639737E0,4.827773571E-2
6.156194373E0,1.309071779E-1
6.166524269E0,2.216340303E-1
6.176070206E0,9.670448303E-2
6.186430935E0,-7.073581219E-3
6.196131560E0,-9.789195657E-2
6.206657081E0,-4.140898585E-2
6.215911664E0,-6.739860773E-2
6.226178539E0,-1.572630107E-1
6.235844529E0,-1.557858884E-1
6.246125467E0,-5.323007703E-2
6.255809894E0,-8.256632090E-2
6.265974217E0,-5.991491675E-2
6.275517967E0,-1.305836439E-1
6.285852862E0,-1.760772765E-1
